pass,frame,zoom,game_minutes,residents,demographic_version,influence_revision,influence_changed,frame_ms,setup,sphere,sphere_politics,flat,foliage,flat_politics,sun,markers
3,75,44.8122,1440,21275,11076,1,0,4.9274,0.0031,0,0,0.0355,0.002,4.024,0,0.0553
3,76,46.5543,1440,21275,11218,1,0,5.3415,0.003,0,0,0.0344,0.0018,4.1118,0,0.0516
3,77,48.2421,1440,21275,11360,1,0,5.2402,0.0028,0,0,0.0334,0.0017,4.0211,0,0.0737
3,78,49.8629,1440,21275,11502,1,0,5.0664,0.003,0,0.0001,0.0294,0.0015,4.025,0,0.0515
3,79,51.4039,1440,21275,11644,1,0,4.7827,0.0031,0,0.0001,0.0285,0.0014,4.0681,0,0.0521
3,80,52.8524,1440,21275,11786,1,0,5.0449,0.0026,0,0.0001,0.0274,0.0014,4.0152,0,0.0497
3,81,54.1964,1440,21275,11928,1,0,5.5841,0.0025,0,0,0.0268,0.0012,4.342,0.0001,0.0645
3,82,55.424,1440,21275,12070,1,0,5.9984,0.0027,0,0.0001,0.0299,0.0014,4.5866,0.0001,0.0668
3,83,56.5243,1440,21275,12212,1,0,6.4835,0.0037,0,0.0001,0.0339,0.0018,4.5565,0,0.0561
3,84,57.4875,1440,21275,12354,1,0,5.3202,0.0046,0,0,0.0331,0.0021,4.5674,0,0.0582
3,85,58.3045,1440,21275,12496,1,0,5.9014,0.0053,0,0,0.0325,0.0018,4.6117,0,0.0606
3,86,58.9677,1440,21275,12638,1,0,7.2886,0.0033,0,0.0001,0.035,0.0014,4.5643,0.0001,0.0567
3,87,59.4707,1440,21275,12780,1,0,5.9663,0.0032,0,0,0.0365,0.0014,4.5226,0.0001,0.0577
3,88,59.8088,1440,21275,12922,1,0,5.6682,0.003,0,0,0.0317,0.0014,4.6738,0.0001,0.0589
3,89,59.9787,1440,21275,13064,1,0,5.8052,0.003,0,0,0.0335,0.0014,4.5548,0,0.058
3,90,59.9787,1440,21275,13206,1,0,5.6236,0.0048,0,0,0.033,0.0017,4.6791,0,0.0745
3,91,59.8088,1440,21275,13348,1,0,6.2117,0.0042,0,0.0001,0.043,0.002,4.9893,0.0001,0.0558
3,92,59.4707,1440,21275,13490,1,0,7.1807,0.003,0,0.0001,0.0301,0.0015,5.6735,0.0001,0.0849
3,93,58.9677,1440,21275,13632,1,0,6.61,0.0044,0,0.0001,0.0413,0.0019,5.3426,0.0001,0.06
3,94,58.3045,1440,21275,13774,1,0,5.3091,0.0037,0,0,0.0322,0.0016,4.0871,0,0.0538
3,95,57.4875,1440,21275,13916,1,0,6.0741,0.003,0,0.0001,0.0291,0.0013,4.023,0.0001,0.053
3,96,56.5243,1440,21275,14058,1,0,5.6006,0.0031,0,0,0.0311,0.0014,4.1514,0.0003,0.0757
3,97,55.424,1440,21275,14200,1,0,7.2804,0.0042,0,0.0001,0.0359,0.0022,5.7356,0.0001,0.0939
3,98,54.1964,1440,21275,14342,1,0,7.3186,0.0059,0,0.0001,0.0536,0.0035,5.8526,0.0003,0.0857
3,99,52.8524,1440,21275,14484,1,0,9.5811,0.0066,0,0.0001,0.0508,0.0032,8.0109,0.0002,0.092
3,100,51.4039,1440,21275,14626,1,0,9.7314,0.0048,0,0,0.0478,0.003,8.1695,0.0001,0.088
3,101,49.8629,1440,21275,14768,1,0,9.8752,0.0061,0,0,0.052,0.0036,8.0402,0.0001,0.0778
3,102,48.2421,1440,21275,14910,1,0,9.3571,0.0045,0,0,0.0595,0.0027,8.0632,0.0002,0.0867
3,103,46.5543,1440,21275,15052,1,0,9.089,0.005,0,0.0001,0.0577,0.0032,7.6221,0.0001,0.0844
3,104,44.8122,1440,21275,15194,1,0,5.3033,0.0046,0,0.0001,0.0439,0.0032,4.1498,0.0001,0.0608
3,105,43.0287,1440,21275,15336,1,0,9.7302,0.0047,0,0.0001,0.0546,0.0033,7.881,0.0003,0.0934
3,106,41.2159,1440,21275,15478,1,0,5.5116,0.0054,0,0.0004,0.1089,0.0044,4.0394,0.0003,0.0617
3,107,39.3859,1440,21275,15620,1,0,5.2822,0.0036,0,0.0001,0.0426,0.0033,4.0481,0,0.053
3,108,37.55,1440,21275,15762,1,0,5.2555,0.0031,0,0,0.0384,0.0023,4.077,0.0001,0.0537
3,109,35.7189,1440,21275,15904,1,0,5.3694,0.0029,0,0.0002,0.0377,0.0027,4.1147,0,0.0563
3,110,33.9025,1440,21275,16046,1,0,5.2991,0.0037,0,0.0002,0.0467,0.0029,4.059,0.0001,0.0544
3,111,32.1099,1440,21275,16188,1,0,5.8023,0.0031,0,0.0001,0.048,0.0024,4.029,0.0001,0.0529
3,112,30.3493,1440,21275,16330,1,0,5.0597,0.0028,0,0,0.0456,0.0029,4.1219,0.0001,0.0526
3,113,28.628,1440,21275,16472,1,0,6.5283,0.0029,0,0,0.0494,0.0028,5.216,0.0001,0.0766
3,114,26.9524,1440,21275,16614,1,0,5.602,0.0031,0,0,0.0561,0.0035,4.4016,0.0001,0.0987
3,115,25.3279,1440,21275,16756,1,0,5.3188,0.0031,0,0,0.061,0.0035,4.0555,0.0001,0.0908
3,116,23.7592,1440,21275,16898,1,0,7.0867,0.003,0,0,0.057,0.0031,4.0543,0,0.091
3,117,22.2498,1440,21275,17040,1,0,5.1665,0.0028,0,0,0.0562,0.0021,4.1246,0,0.0954
3,118,20.8028,1440,21275,17182,1,0,5.0891,0.0032,0,0.0001,0.0781,0.0036,4.1037,0,0.0907
3,119,19.42,1440,21275,17324,1,0,5.3525,0.0032,0,0,0.072,0.0046,4.1293,0,0.0889
3,120,18.103,1440,21275,17466,1,0,5.2926,0.0031,0,0,0.0772,0.0039,4.12,0,0.0941
3,121,16.8523,1440,21275,17608,1,0,9.4101,0.0032,0,0.0001,0.1143,0.0056,7.7533,0.0002,0.1522
3,122,15.6681,1440,21275,17750,1,0,9.5481,0.0047,0,0,0.1479,0.0065,7.7835,0.0002,0.1452
3,123,14.5499,1440,21275,17892,1,0,9.4484,0.0054,0,0.0001,0.1546,0.0072,7.7485,0.0001,0.1484
3,124,13.4968,1440,21275,18034,1,0,9.5341,0.0045,0,0.0001,0.1668,0.0084,7.7421,0.0002,0.1464
3,125,12.5074,1440,21275,18176,1,0,14.1111,0.0046,4.0432,2.6888,0.202,0.0075,6.2314,0.0002,0.2026
3,126,11.58,1440,21275,18318,1,0,17.5249,0.0058,4.263,2.6592,0.2116,0.0085,7.7132,0.0002,0.7455
3,127,10.7127,1440,21275,18460,1,0,15.9828,0.0061,4.2445,2.7379,0.235,0.0096,7.7324,0.0033,0.2579
3,128,9.90332,1440,21275,18602,1,0,18.0208,0.006,4.2274,4.7859,0.2525,0.0122,7.7032,0.0055,0.2547
3,129,9.14942,1440,21275,18744,1,0,11.0725,0.0067,4.3297,4.9612,0,0,0.0001,0.0021,0.2844
3,130,8.44851,1440,21275,18886,1,0,10.4137,0.0051,4.2875,5.0614,0,0,0.0002,0.0023,0.3328
3,131,7.79802,1440,21275,19028,1,0,9.6163,0.0023,4.0888,4.7876,0,0,0.0001,0.0024,0.2488
3,132,7.19528,1440,21275,19170,1,0,7.9502,0.0017,2.4719,3.9572,0,0,0.0001,0.0013,0.2535
3,133,6.63765,1440,21275,19312,1,0,7.7971,0.0014,2.9435,3.9773,0,0,0.0001,0.0009,0.2532
3,134,6.12247,1440,21275,19454,1,0,8.0038,0.0016,3.0851,4.1229,0,0,0.0001,0.0011,0.26
3,135,5.64713,1440,21275,19596,1,0,11.5899,0.0015,4.3009,5.3976,0,0,0.0001,0.0023,0.4945
3,136,5.20909,1440,21275,19738,1,0,13.5269,0.0025,5.8713,5.4906,0,0,0.0001,0.0024,0.5451
3,137,4.80587,1440,21275,19880,1,0,15.091,0.0026,7.217,5.6847,0,0,0.0002,0.0024,0.6896
3,138,4.43507,1440,21275,20022,1,0,16.1445,0.0029,7.6342,5.7597,0,0,0.0002,0.0025,0.8019
3,139,4.0944,1440,21275,20164,1,0,11.6011,0.0019,4.9124,4.495,0,0,0.0004,0.001,0.7456
3,140,3.78168,1440,21275,20306,1,0,5.6295,0.0016,2.5659,1.277,0,0,0,0.001,0.9512
3,141,3.49483,1440,21275,20448,1,0,6.4718,0.0013,2.5726,1.2932,0,0,0.0001,0.0008,1.2916
3,142,3.23189,1440,21275,20590,1,0,7.1756,0.0018,2.5343,1.5487,0,0,0,0.0009,1.635
3,143,2.99101,1440,21275,20732,1,0,6.9616,0.0014,2.5271,1.6014,0,0,0.0001,0.0009,2.0044
3,144,2.77047,1440,21275,20874,1,0,7.8202,0.0015,2.5723,1.6035,0,0,0.0002,0.0009,2.1526
3,145,2.56862,1440,21275,21016,1,0,8.2117,0.0014,2.506,1.6017,0,0,0.0002,0.0009,2.4713
3,146,2.38398,1440,21275,21158,1,0,8.1063,0.0016,2.4501,1.6965,0,0,0.0002,0.0009,2.7655
3,147,2.21512,1440,21275,21300,1,0,8.753,0.0014,2.4808,1.6578,0,0,0.0001,0.001,3.0384
3,148,2.06075,1440,21275,21442,1,0,8.892,0.0017,2.5209,1.7693,0,0,0.0001,0.001,3.3143
3,149,1.91967,1440,21275,21584,1,0,12.5137,0.0014,2.6459,1.8073,0,0,0.0002,0.0012,3.4981
3,150,1.79076,1440,21275,21726,1,0,8.2705,0.0025,4.2969,2.8659,0,0,0.0002,0.0017,0.0023
3,151,1.67299,1440,21275,21868,1,0,8.156,0.0026,4.3036,2.8295,0,0,0.0001,0.0018,0.0026
3,152,1.56543,1440,21275,22010,1,0,8.5919,0.0023,4.2998,2.8443,0,0,0.0001,0.0017,0.0023
3,153,1.46721,1440,21275,22152,1,0,8.3619,0.002,4.2453,2.8552,0,0,0.0001,0.0015,0.0025
3,154,1.37755,1440,21275,22294,1,0,8.7052,0.0018,4.2148,2.9234,0,0,0.0003,0.0018,0.0026
3,155,1.2957,1440,21275,22436,1,0,9.0759,0.0024,4.4367,2.9062,0,0,0.0001,0.0018,0.0023
3,156,1.22103,1440,21275,22578,1,0,8.8368,0.0021,4.421,2.9173,0,0,0.0002,0.0022,0.0029
3,157,1.15292,1440,21275,22720,1,0,9.1161,0.0027,4.454,2.8916,0,0,0.0001,0.0018,0.0023
3,158,1.09082,1440,21275,22862,1,0,8.8738,0.002,4.4271,2.9131,0,0,0.0001,0.0018,0.0025
3,159,1.03424,1440,21275,23004,1,0,9.3858,0.0023,4.4291,2.9,0,0,0.0001,0.0018,0.0023
3,160,0.982714,1440,21275,23146,1,0,8.0491,0.0022,4.4591,2.1392,0,0,0.0001,0.0011,0.0015
3,161,0.935842,1440,21275,23288,1,0,10.0207,0.0023,4.4534,2.9475,0,0,0.0001,0.0016,0.0023
3,162,0.893248,1440,21275,23430,1,0,7.9896,0.0022,4,2.2848,0,0,0.0002,0.0015,0.0021
3,163,0.854596,1440,21275,23572,1,0,9.1229,0.0025,4.459,2.9519,0,0,0.0001,0.0022,0.0023
3,164,0.819581,1440,21275,23714,1,0,5.978,0.0018,2.657,1.9239,0,0,0.0001,0.0008,0.0012
3,165,0.787932,1440,21275,23856,1,0,7.348,0.0016,2.6734,2.901,0,0,0.0001,0.0019,0.0024
3,166,0.759401,1440,21275,23998,1,0,10.2518,0.0017,3.5832,2.8776,0,0,0.0001,0.0021,0.0024
3,167,0.73377,1440,21275,24140,1,0,8.8119,0.0027,4.5077,2.73,0,0,0.0001,0.002,0.0023
3,168,0.710842,1440,21275,24282,1,0,10.5639,0.0018,3.9469,2.9675,0,0,0.0002,0.0026,0.003
3,169,0.690442,1440,21275,24424,1,0,6.4243,0.0021,2.8508,2.1739,0,0,0.0002,0.0021,0.0034
3,170,0.672417,1440,21275,24566,1,0,7.2165,0.0022,3.1866,2.5299,0,0,0.0002,0.0025,0.0032
3,171,0.65663,1440,21275,24708,1,0,8.8001,0.0027,4.3221,2.9511,0,0,0.0002,0.0028,0.0042
3,172,0.642964,1440,21275,24850,1,0,9.2568,0.003,4.3509,3.0021,0,0,0.0003,0.0026,0.004
3,173,0.631317,1440,21275,24992,1,0,8.4576,0.0031,4.2652,2.9558,0,0,0.0002,0.0022,0.0028
3,174,0.621603,1440,21275,25134,1,0,9.007,0.0028,4.281,2.9117,0,0,0.0002,0.0025,0.0032
3,175,0.613751,1440,21275,25276,1,0,10.3483,0.0016,3.9147,2.9611,0,0,0.0002,0.0019,0.0029
3,176,0.607702,1440,21275,25418,1,0,8.8812,0.0025,4.3021,2.917,0,0,0.0002,0.0016,0.0029
3,177,0.603413,1440,21275,25560,1,0,11.4133,0.0022,4.2374,2.9284,0,0,0.0002,0.0023,0.0032
3,178,0.600852,1440,21275,25702,1,0,5.9395,0.0016,2.5225,2.0216,0,0,0.0001,0.0012,0.0015
3,179,0.6,1440,21275,25844,1,0,8.8481,0.002,4.2476,2.9747,0,0,0.0002,0.0028,0.0031
4,0,0.6,525600,21417,25986,2,1,25.1295,0.003,3.4713,20.0866,0,0,0.0002,0.0038,0.0049
4,1,0.600852,1440,21417,26128,2,0,10.4444,0.0029,3.938,4.69,0,0,0.0003,0.0029,0.0038
4,2,0.603413,1440,21417,26270,2,0,10.8817,0.0027,4.2989,4.934,0,0,0.0002,0.0026,0.0027
4,3,0.607702,1440,21417,26412,2,0,10.5175,0.002,3.7514,5.0321,0,0,0.0002,0.0024,0.0031
4,4,0.613751,1440,21417,26554,2,0,9.5655,0.003,4.2695,4.0424,0,0,0.0001,0.0019,0.0029
4,5,0.621603,1440,21417,26696,2,0,10.5509,0.0023,4.2423,5.028,0,0,0.0001,0.0021,0.003
4,6,0.631317,1440,21417,26838,2,0,9.8796,0.0027,3.1248,4.9325,0,0,0.0002,0.0024,0.0033
4,7,0.642964,1440,21417,26980,2,0,10.9253,0.0036,4.2668,4.9939,0,0,0.0004,0.0035,0.0042
4,8,0.65663,1440,21417,27122,2,0,9.8557,0.0037,3.4329,4.6263,0,0,0.0002,0.0018,0.0027
4,9,0.672417,1440,21417,27264,2,0,11.4052,0.0035,4.5123,5.011,0,0,0.0002,0.0029,0.0038
4,10,0.690442,1440,21417,27406,2,0,11.1656,0.0031,4.4686,4.9455,0,0,0.0002,0.0027,0.0037
4,11,0.710842,1440,21417,27548,2,0,11.6281,0.0032,4.5153,5.0973,0,0,0.0002,0.0034,0.005
4,12,0.73377,1440,21417,27690,2,0,11.2641,0.0032,4.544,4.9652,0,0,0.0002,0.0026,0.0043
4,13,0.759401,1440,21417,27832,2,0,11.0417,0.0034,4.1636,4.9846,0,0,0.0002,0.0031,0.0044
4,14,0.787932,1440,21417,27974,2,0,10.7904,0.003,3.5314,5.1399,0,0,0.0004,0.0045,0.0096
4,15,0.819581,1440,21417,28116,2,0,10.918,0.0029,4.0031,5.0345,0,0,0.0002,0.0029,0.0049
4,16,0.854596,1440,21417,28258,2,0,11.5801,0.0027,4.5305,5.0009,0,0,0.0003,0.003,0.0049
4,17,0.893248,1440,21417,28400,2,0,11.3883,0.0034,4.5343,4.9737,0,0,0.0003,0.0025,0.0045
4,18,0.935842,1440,21417,28542,2,0,11.2848,0.0026,4.5327,5.0082,0,0,0.0001,0.0023,0.0027
4,19,0.982714,1440,21417,28684,2,0,11.3959,0.0025,4.4925,4.9577,0,0,0.0002,0.0026,0.0032
4,20,1.03424,1440,21417,28826,2,0,10.8873,0.0027,4.4616,5.024,0,0,0.0002,0.0023,0.0036
4,21,1.09082,1440,21417,28968,2,0,11.2996,0.0023,4.5266,5.0054,0,0,0.0001,0.002,0.0026
4,22,1.15292,1440,21417,29110,2,0,11.2125,0.0027,4.4959,4.9233,0,0,0.0002,0.0024,0.0036
4,23,1.22103,1440,21417,29252,2,0,10.7306,0.0029,4.4775,4.8929,0,0,0.0004,0.0022,0.0034
4,24,1.2957,1440,21417,29394,2,0,12.8495,0.0026,4.4966,6.4499,0,0,0.0002,0.0028,0.0038
4,25,1.37755,1440,21417,29536,2,0,12.5941,0.0032,4.317,5.0684,0,0,0.0002,0.0027,0.0041
4,26,1.46721,1440,21417,29678,2,0,10.8989,0.0027,4.2902,5.0911,0,0,0.0004,0.003,0.0043
4,27,1.56543,1440,21417,29820,2,0,11.9805,0.0027,4.2838,5.0684,0,0,0.0001,0.0018,0.0023
4,28,1.67299,1440,21417,29962,2,0,10.6933,0.0026,4.2876,4.9715,0,0,0.0002,0.002,0.0031
4,29,1.79076,1440,21417,30104,2,0,11.0442,0.003,4.2402,4.9809,0,0,0.0002,0.0023,0.0033
4,30,1.91967,1440,21417,30246,2,0,19.7175,0.0029,4.3194,4.8806,0,0,0.0002,0.0019,5.0333
4,31,2.06075,1440,21417,30388,2,0,14.6512,0.002,2.6191,4.3792,0,0,0.0001,0.0023,4.8378
4,32,2.21512,1440,21417,30530,2,0,15.3679,0.0035,4.3662,4.764,0,0,0.0002,0.0026,3.9877
4,33,2.38398,1440,21417,30672,2,0,11.642,0.0019,2.5905,3.7802,0,0,0.0001,0.0015,2.8375
4,34,2.56862,1440,21417,30814,2,0,13.142,0.0019,2.5815,3.7203,0,0,0.0002,0.0016,3.4257
