pass,frame,zoom,frame_ms,setup,sphere,sphere_politics,flat,foliage,flat_politics,sun,markers
1,40,4.0944,13.8787,0.0023,5.6133,6.0063,0,0,0.0002,0.0031,1.0923
1,41,4.43507,15.4073,0.0028,7.6176,5.8228,0,0,0.0002,0.0029,0.8002
1,42,4.80587,10.1591,0.0036,4.4501,4.5026,0,0,0.0003,0.0023,0.504
1,43,5.20909,8.7073,0.0018,3.5287,4.2413,0,0,0.0001,0.0009,0.3627
1,44,5.64713,9.2021,0.0013,3.2327,4.707,0,0,0.0002,0.0031,0.4849
1,45,6.12247,11.4082,0.0034,5.0563,5.2523,0,0,0.0002,0.0019,0.3649
1,46,6.63765,11.0179,0.0025,4.8444,5.1229,0,0,0.0002,0.002,0.3641
1,47,7.19528,10.1725,0.0026,4.0222,5.019,0,0,0.0002,0.002,0.3633
1,48,7.79802,10.1265,0.0025,4.0809,5.0179,0,0,0.0001,0.0017,0.3273
1,49,8.44851,10.1634,0.0022,4.1599,4.9935,0,0,0.0001,0.0026,0.3358
1,50,9.14942,10.1234,0.0022,4.1325,4.9075,0,0,0.0001,0.0017,0.2708
1,51,9.90332,13.6691,0.0057,4.1149,4.5947,0.1673,0.0091,4.1161,0.0017,0.1648
1,52,10.7127,16.777,0.004,4.076,3.9551,0.1446,0.0063,7.4433,0.0021,0.2412
1,53,11.58,14.2931,0.009,2.5961,3.8045,0.1366,0.0053,6.8175,0.0002,0.1965
1,54,12.5074,9.9693,0.0047,2.4348,1.9513,0.1208,0.0046,4.0839,0.0001,0.289
1,55,13.4968,5.3614,0.0046,0,0.0001,0.1621,0.0052,4.6057,0.0002,0.1043
1,56,14.5499,8.1151,0.0034,0,0.0001,0.097,0.0046,7.2133,0.0001,0.1337
1,57,15.6681,6.1799,0.0042,0,0,0.1447,0.004,5.4477,0.0001,0.0947
1,58,16.8523,4.8543,0.0045,0,0.0001,0.0803,0.0036,4.2358,0,0.0928
1,59,18.103,6.8498,0.003,0,0,0.0804,0.0034,5.7523,0.0001,0.1436
1,60,19.42,8.7948,0.0065,0,0,0.1216,0.0067,7.734,0.0001,0.1514
1,61,20.8028,8.6492,0.006,0,0,0.1115,0.005,7.6995,0.0002,0.1402
1,62,22.2498,8.6713,0.0052,0,0.0001,0.1024,0.0049,7.6786,0.0001,0.1444
1,63,23.7592,8.5961,0.0045,0,0.0001,0.1012,0.005,7.6863,0.0001,0.134
1,64,25.3279,8.6209,0.0046,0,0.0001,0.097,0.0045,7.6435,0.0001,0.1414
1,65,26.9524,8.6674,0.0049,0,0.0001,0.0895,0.0042,7.6572,0.0002,0.1615
1,66,28.628,8.7575,0.0066,0,0.0001,0.0936,0.0048,7.664,0.0004,0.1139
1,67,30.3493,8.7511,0.0139,0,0.0001,0.1191,0.0054,7.7028,0.0005,0.1149
1,68,32.1099,8.5792,0.008,0,0.0001,0.0908,0.0043,7.6518,0.0002,0.0972
1,69,33.9025,8.6619,0.0062,0,0,0.0762,0.0039,7.6534,0.0002,0.0862
1,70,35.7189,8.6752,0.0058,0,0,0.0678,0.004,7.77,0.0004,0.1066
1,71,37.55,5.4112,0.007,0,0,0.0568,0.0042,4.5597,0.0001,0.0632
1,72,39.3859,7.6994,0.0059,0,0.0001,0.0568,0.003,6.4951,0.0002,0.1586
1,73,41.2159,7.1869,0.0082,0,0.0004,0.067,0.0033,6.317,0.0001,0.07
1,74,43.0287,4.5143,0.0052,0,0.0001,0.0435,0.0032,3.9824,0,0.053
1,75,44.8122,4.6175,0.0046,0,0.0001,0.0524,0.0026,4.0789,0.0001,0.0546
1,76,46.5543,5.493,0.0047,0,0.0001,0.1203,0.006,4.6252,0.0002,0.0648
1,77,48.2421,4.6446,0.0052,0,0,0.0556,0.0027,4.082,0.0001,0.0565
1,78,49.8629,8.4657,0.0049,0,0,0.0467,0.0037,7.5541,0.0003,0.1168
1,79,51.4039,8.6613,0.0075,0,0.0001,0.0581,0.0032,7.644,0.0003,0.1102
1,80,52.8524,8.5091,0.0074,0,0.0001,0.0847,0.0043,7.6437,0.0002,0.0981
1,81,54.1964,8.5286,0.0067,0,0.0001,0.0543,0.0037,7.6326,0.0002,0.0823
1,82,55.424,4.6413,0.006,0,0,0.0378,0.0029,4.1263,0.0001,0.054
1,83,56.5243,4.4237,0.0027,0,0,0.0266,0.0011,3.9598,0,0.0485
