pass,frame,zoom,frame_ms,setup,sphere,sphere_politics,flat,foliage,flat_politics,sun,markers
1,16,0.854596,5.4674,0.0015,2.4297,1.947,0,0,0.0001,0.001,0.0017
1,17,0.893248,5.485,0.0017,2.3819,1.8741,0,0,0.0001,0.0007,0.0011
1,18,0.935842,5.3329,0.0019,2.3715,1.8864,0,0,0.0001,0.0007,0.0014
1,19,0.982714,5.6028,0.0019,2.3948,1.9329,0,0,0.0002,0.0014,0.0014
1,20,1.03424,8.1193,0.0017,2.7793,1.9006,0,0,0.0001,0.0013,0.0025
1,21,1.09082,7.5513,0.0022,3.3096,2.6796,0,0,0.0002,0.0031,0.0037
1,22,1.15292,10.3643,0.003,2.9975,1.9169,0,0,0.0003,0.0012,3.4477
1,23,1.22103,9.6203,0.0017,2.4557,1.9353,0,0,0.0002,0.0014,3.4915
1,24,1.2957,11.9845,0.0021,2.4493,2.3219,0,0,0.0002,0.0013,3.4267
1,25,1.37755,13.0095,0.0021,2.5059,1.996,0,0,0.0001,0.0013,3.5013
1,26,1.46721,11.6075,0.0034,2.9802,1.9396,0,0,0.0002,0.0015,3.4251
1,27,1.56543,9.7557,0.0017,2.4932,1.9265,0,0,0.0001,0.0015,3.4651
1,28,1.67299,9.8601,0.0021,2.6816,2.1073,0,0,0.0002,0.0016,3.4374
1,29,1.79076,9.1743,0.0018,2.5715,1.8265,0,0,0.0001,0.0015,3.1781
1,30,1.91967,8.792,0.0021,2.6016,1.7451,0,0,0.0001,0.001,2.837
1,31,2.06075,10.0424,0.002,2.689,1.3056,0,0,0.0002,0.0013,3.5867
1,32,2.21512,11.4504,0.0029,4.3004,1.9202,0,0,0.0001,0.0025,3.3889
1,33,2.38398,7.7382,0.0027,3.0723,1.2758,0,0,0.0001,0.001,2.0797
1,34,2.56862,19.8291,0.0013,7.0349,8.2798,0,0,0.0005,0.0061,2.7195
1,35,2.77047,16.4627,0.0023,7.334,5.8908,0,0,0.0002,0.0025,1.5193
1,36,2.99101,13.9517,0.002,5.4531,5.5634,0,0,0.0003,0.0046,1.2626
1,37,3.23189,12.5241,0.0028,5.1551,5.9234,0,0,0.0001,0.0017,0.8876
1,38,3.49483,11.5697,0.0017,5.061,5.2843,0,0,0.0002,0.0017,0.7241
1,39,3.78168,11.3359,0.0018,4.9225,4.7314,0,0,0.0001,0.0006,0.476
1,40,4.0944,11.1342,0.0012,4.6133,4.6601,0,0,0.0005,0.0014,0.4576
1,41,4.43507,9.5483,0.0019,4.1641,4.5706,0,0,0.0001,0.0023,0.3271
1,42,4.80587,9.6266,0.0017,4.5422,4.3635,0,0,0,0.0008,0.2983
1,43,5.20909,9.3569,0.0013,3.6083,4.2039,0,0,0,0.0008,0.2441
1,44,5.64713,13.2969,0.004,3.3899,4.0434,0.3525,0.0411,4.133,0.0014,0.2551
1,45,6.12247,12.3212,0.0033,2.9758,3.9712,0.2788,0.0278,4.2614,0.0018,0.2764
1,46,6.63765,12.0341,0.0034,3.0359,3.9102,0.2495,0.0182,4.1728,0.001,0.1941
1,47,7.19528,12.5433,0.0032,2.5276,3.8752,0.3127,0.0103,4.0419,0.0001,0.5671
1,48,7.79802,11.1111,0.0041,2.4587,3.8538,0.181,0.0086,4.0176,0,0.1628
1,49,8.44851,6.9285,0.003,0,0.0001,0.1685,0.0077,6.0771,0.0001,0.1948
1,50,9.14942,6.7963,0.0033,0,0,0.1798,0.0092,6.0898,0,0.1229
1,51,9.90332,5.3372,0.0027,0,0,0.1312,0.006,4.0134,0,0.1218
1,52,10.7127,5.4384,0.0022,0,0,0.1101,0.0044,3.9331,0,0.0837
1,53,11.58,4.6974,0.008,0,0.0002,0.1346,0.008,3.95,0,0.0992
1,54,12.5074,8.1602,0.0028,0,0,0.1018,0.0038,4.803,0.0003,0.0967
1,55,13.4968,5.2932,0.0028,0,0.0001,0.0859,0.0034,4.0153,0,0.0869
1,56,14.5499,4.6866,0.0024,0,0,0.0777,0.0031,4.0002,0.0001,0.0853
1,57,15.6681,5.1726,0.0025,0,0,0.0744,0.0029,3.9415,0,0.0841
1,58,16.8523,4.8849,0.0025,0,0,0.0707,0.0025,3.9611,0,0.0831
1,59,18.103,4.879,0.0024,0,0,0.0626,0.0024,3.9823,0,0.0828
1,60,19.42,5.6408,0.0023,0,0,0.0552,0.002,4.2765,0.0001,0.095
1,61,20.8028,5.1699,0.0029,0,0.0001,0.0554,0.0022,3.974,0,0.0846
1,62,22.2498,7.1749,0.0023,0,0,0.0483,0.0019,3.8941,0,0.0824
1,63,23.7592,5.1912,0.0033,0,0,0.0487,0.0016,3.9719,0,0.0501
1,64,25.3279,5.3462,0.0024,0,0,0.0474,0.0017,3.9485,0,0.0468
1,65,26.9524,7.5637,0.0023,0,0.0001,0.0415,0.0015,3.9224,0,0.0462
