pass,frame,zoom,game_minutes,residents,demographic_version,influence_revision,influence_changed,frame_ms,setup,sphere,sphere_politics,flat,foliage,flat_politics,sun,markers
3,156,1.22103,1440,21275,22578,1,0,8.8934,0.0018,2.4165,1.9173,0,0,0.0002,0.001,3.3454
3,157,1.15292,1440,21275,22720,1,0,8.9235,0.0016,2.4357,1.9052,0,0,0.0001,0.001,3.3496
3,158,1.09082,1440,21275,22862,1,0,5.2829,0.0018,2.4758,1.9017,0,0,0.0002,0.001,0.0016
3,159,1.03424,1440,21275,23004,1,0,5.2116,0.0016,2.4128,1.8766,0,0,0.0002,0.0009,0.0015
3,160,0.982714,1440,21275,23146,1,0,4.8929,0.0015,2.399,1.8783,0,0,0.0001,0.0007,0.001
3,161,0.935842,1440,21275,23288,1,0,5.1735,0.0012,2.4126,1.8977,0,0,0.0001,0.001,0.0011
3,162,0.893248,1440,21275,23430,1,0,5.1556,0.0012,2.3846,1.8821,0,0,0,0.0007,0.0012
3,163,0.854596,1440,21275,23572,1,0,4.899,0.0013,2.3953,1.8827,0,0,0.0001,0.0007,0.001
3,164,0.819581,1440,21275,23714,1,0,5.221,0.001,2.442,1.8953,0,0,0,0.0008,0.0012
3,165,0.787932,1440,21275,23856,1,0,5.3551,0.0018,2.5015,1.8824,0,0,0,0.0008,0.0012
3,166,0.759401,1440,21275,23998,1,0,5.0415,0.0015,2.5177,1.8712,0,0,0.0001,0.0007,0.0012
3,167,0.73377,1440,21275,24140,1,0,5.7339,0.0012,2.5216,1.9021,0,0,0.0001,0.0007,0.0013
3,168,0.710842,1440,21275,24282,1,0,5.0304,0.0012,2.5094,1.8858,0,0,0.0001,0.0007,0.001
3,169,0.690442,1440,21275,24424,1,0,5.3048,0.0012,2.5171,1.9046,0,0,0.0001,0.0008,0.0011
3,170,0.672417,1440,21275,24566,1,0,5.0462,0.0013,2.5255,1.8703,0,0,0,0.001,0.0011
3,171,0.65663,1440,21275,24708,1,0,5.0099,0.0013,2.4996,1.879,0,0,0.0001,0.0006,0.0011
3,172,0.642964,1440,21275,24850,1,0,5.2048,0.0011,2.4922,1.8759,0,0,0,0.0007,0.001
3,173,0.631317,1440,21275,24992,1,0,5.079,0.0014,2.5545,1.8782,0,0,0,0.0007,0.0011
3,174,0.621603,1440,21275,25134,1,0,5.1647,0.0012,2.4798,1.8663,0,0,0.0001,0.0006,0.0011
3,175,0.613751,1440,21275,25276,1,0,5.2277,0.001,2.4818,1.8734,0,0,0.0001,0.0008,0.0011
3,176,0.607702,1440,21275,25418,1,0,5.4675,0.0014,2.9049,1.8694,0,0,0,0.0009,0.0013
3,177,0.603413,1440,21275,25560,1,0,5.3673,0.0014,2.5652,1.9199,0,0,0,0.001,0.0013
3,178,0.600852,1440,21275,25702,1,0,5.4674,0.0013,2.5475,1.9199,0,0,0.0001,0.0008,0.002
3,179,0.6,1440,21275,25844,1,0,5.1785,0.0021,2.5869,1.9047,0,0,0,0.001,0.0014
4,0,0.6,525600,21417,25986,2,1,21.5641,0.0014,3.3601,17.1232,0,0,0.0002,0.0026,0.0035
